Review,Title,Date
"This is a typical ""let's make a fool out of Indians"" product ... and I am a ""foolish Indian.""Here are a few facts about this product: It is made in China, like every other Indian product is. And on the streets of Shenzhen, you will find this product for less than INR 100. 150 tops. At that price, this would have been a 5 star product. But, at about INR 700 ... this is a pathetically low quality product that has NOT gone through quality control.Let's see what all is wrong with the product: The biggest flaw is that these jokers have packaged two ear-plugs (or whatever they are called) for only one side of the headset. What do I mean? See the attached photo. Those are two ear plugs that go over the RIGHT side of the headset! Two!! Putting it more clearly, there's no ear-plug for the left speaker on the headset!! Why is that a problem? Because the plastic material on the headset is so slippery that it is impossible for the headset to stay in your ears. Putting it more clearly, without those rubber ear-plugs, the headset keeps slipping off my ear, and will possibly slip out of every other ordinary human being's ears!Issue #2: the controller, where you have the on/off and volume control buttons is so heavy that, without the rubber paddings (ear plugs mentioned earlier) the headset keeps slipping off.Issue #3: Are you driving? Are you jogging? Are you in a typical Indian public transport that rattles you to the last bone? Nope! You can't use this headset, because it will keep slipping out of your ears.So, why didn't I return it? Because:1. I am a typical Indian who likes to be made a fool of by Indian companies,2. I am lazy,3. I just didn't want to wait for Amazon's pick up person to come ""anytime it suits him"" or call me and say that he will pick it up some other day at his convenience.Overall, I lost INR 700 by being a typical Indian fool who wants to use modern products and hopes, wishes and prays that some Indian company will make them available to him ... and then spend his hard earned money to get such a product - but in stead gets just a plastic casing for that high price.Bottom line: don't buy this piece of junk. I wasted my money, but you shouldn't!
",PTron Intunes,2024-12-21
"Everything is perfect for the price...10/10Good bassIt fits perfectly in ears without any discomfortImpressed by its quality Nd sound..
",PTron Intunes,2024-12-28
"This is my first purchase from this company...so I was a bit hesitant...but I must say...these are the best in its class... bought it for my husband...sound quality is very good and magnet in ear plugs makes it very easy to stay around neck...only setback is...I m unable to fit those extra rubber covers on it...because they both seem to be for left ear only. Well...that's not a big issue...will soon find a way out ..I hope so... overall....these are worth...go for it.
",PTron Intunes,2024-12-27
"No instructions and it does not connect to my phone. So I have no idea about features. Very plasticky and cheap quality of the controller. I bought it for the shape of the earphones and that's the only element I liked. Returning it
",PTron Intunes,2024-12-21
"Right ear and Left ear audio ratio is not proper..
",PTron Intunes,2024-12-28
"The sound quality, bass, composure is just perfectThe colour and the product quality is very robustIt can stand up to 3 hours in single charge and provides awesome music experience
",PTron Intunes,2024-12-26
"Sound quality is excellent, and this is my first order from Amazon and I'm very happy with this order thanks Amazon 😊
",PTron Intunes,2024-12-20
"good look but Sound Are to Bad ,And low ,noise and low sound , quality ,And If will do full valume So ,pain in Ear,so that ,not good product
",PTron Intunes,2024-12-27
"Build of the central control is poor... Easily comes apart... The sound was good but the earphones basically does not work after few days of use
",PTron Intunes,2024-12-27
"Voice is breaking voice quality is very bad
",PTron Intunes,2024-12-25
"Pathetic battery backup. Bluetooth pairing keeps on going off. Not at all a product to buy
",PTron Intunes,2024-12-25
"1, This product was not comfortable to use. Reason this no any grip and moving up and down.2. Automatically discounted bluetooth connection. Need to reconnect every time.3. Battry back up is not up to mark.
",PTron Intunes,2024-12-21
"Battery is not good as expected
",PTron Intunes,2024-12-29
"Wow what a design and build , i liked its box packing too as its like a premium one not only thus as using it for half of week i really enjoying the sound quality of wireless headphones...Reasons to buy this wireless headphones...are1. STEREO 5/52. SWEATPROOF 5/53. BUILD QUALITY 5/54. SOUND QUALITY 5/55. ITS PROMISING DESIGN 5/56. WEIGHT LESS 5/57. BASS 5/55/5 in each and everythingits a must buy headphones so please buy it if you are buying one..with Bluetooth version
",PTron Intunes,2024-12-29
"Amazing sound quality bass is superb it feels very good listening songs on it .stylish design with magnetic effect .battery backup is also good as it lasts for long hours
",PTron Intunes,2024-12-26
"I gifted this bluetooth headphones to my mom as she is loves music and is always doibg something or other. This could be of great help being wireless. She just loves them. The battery life us great. Also the colour is awesum. The sound is up to the mark. And the product looks promising...
",PTron Intunes,2024-12-23
"Quality and Sound clarity is too good.Bass is also good and nice.Battery life is also good.Defintely you can buy this hearphone.
",PTron Intunes,2024-12-24
"I am a prime customer of Amazon and I always purchase a product after so much research bought these Bluetooth earphones recently and trust me I am blown away. In this price such a awesome ""sound quality"" 10/10. ""Battery life"" seems good not tested for as described but will update soon. ""Durability"" 10/10 perfect fit no pain no discomfort....Really PTron has done a fantastic job with amazing music quality with superb bass in all highs mids & lows ..... Just go for it.
",PTron Intunes,2024-12-27
"I am really impressed with this headsetIt takes only 1.5 hours to charge and working time is 3 hours with 80hours of standby time 😍The speakers are totally fine with frequency of 20Hz-20kHzI got one for me in the black colour .
",PTron Intunes,2024-12-21
"Good product at budget friendly price. Work well along with equaliser settings as per our music comfort.I am satisfied with product and enjoying संगीत। 😊😇🎼🎶
",PTron Intunes,2024-12-22
"No bass in this headphones.. but clear sound and best tor calling...
",Flybot Beat,2024-12-27
"Bad quality product, low volume and no bass, music is flat. Useful only to take calls, these are not to listen to music. Another flaw is buttons, ear is paining when buttons are pressed to take calls or change tracks. Not recommended.
",Flybot Beat,2024-12-27
"Aswome bass  and sound quality is fabelous, mirch phone also working as expected.batteery life also good
",Flybot Beat,2024-12-24
"It was superb experience vid itNice to have good sound quality base..Avoid while driving...
",Flybot Beat,2024-12-24
"Pairing Issue and cheap quality
",Flybot Beat,2024-12-25
"These pods are really awesome and good looking,sound is decent must try this,good packing
",Flybot Beat,2024-12-24
"Sound and quality was awesome as we can see the price is quite good as it is wireless..
",Flybot Beat,2024-12-28
"Good looking very cute pods and worthy product
",Flybot Beat,2024-12-23
"This a great product.comes in a nice box and it's fit in ears perfectly and micro phone working well.sound quality is very nice
",Flybot Beat,2024-12-23
"Quality of the product is so good,and looking great,in recent times this is the best pods I have ever seen and sound clarity also very good
",Flybot Beat,2024-12-21
"Using since 2 weeks and I'm totally in love with this pods so cute and good sound clarity,noise cancellation product
",Flybot Beat,2024-12-29
"Bluetooth connectivity is very good and battery backup is decent
",Flybot Beat,2024-12-27
"Bluetooth connectivity is working as expected and microphone also works well.very good base and sound quality
",Flybot Beat,2024-12-22
"The twin pods are just awesome sounds great and perfect for sports
",Flybot Beat,2024-12-29
"Paisa wasool product and super sound quality...
",Flybot Beat,2024-12-20
"Mind blowing sound and design was excellent thank u amazon
",Flybot Beat,2024-12-26
"The product is very good,the looks are amazing..worth every penny
",Flybot Beat,2024-12-24
"Best sound and also great bass this product is awesome amazing I can't say about this product really really amazing
",Flybot Beat,2024-12-22
"Flybot Beat True Wireless Bluetooth Earphones deliver what it promises, a good sound experience. With the price tag it comes in it's pretty good deal. Light Weight.Looks 9/10Comfort 9.5/10Sound 10/10Battery 9/10
",Flybot Beat,2024-12-24
"I’m using this earphones for few day now & I can say for the price these are the best truly wireless earbuds out there in the market.*Sound quality - balanced sound with good amount of bass.*Fit & Comfort - easily you can find best fit for your ears as these earbuds comes with different sizes of earhooks & earwings, one can comfortably run with these on.*Battery life & Connectivity - battery life is good among these earbuds & can give you 9-12 hours of music play time (along with charging case).Connectivity is really good as earbuds automatically connects to your bluetooth device by just taking them out of the charging case.OVERALL IF YOU ARE ON A TIGHT BUDGET BUT STILL WANTS A GOOD SET OF TRUE WIRELESS EARBUDS THEN LOOK NO FURTHER, JUST GO FOR IT...
",Flybot Beat,2024-12-29
"Was really excited about the product, I was in office when I received mail and text that it is delivered.. When came home open the packaging with lot of excitement, and found an empty box.. Really disappointed..
",Samsung EO-BG950CBEIN,2024-12-25
"Good build quality; Good battery backup; ease with BT connection; good design & fit; Sound quality is very good - crisp & clear; mid tone is excellent; treble is little harsh but can be easily control through equalizer software; bass is sufficient; lastly, voice clarity through mic is excellent - best in the market (even better than Sennheiser). Most importantly, its Samsung and one can take the benefit of readily available service centres, if required.
",Samsung EO-BG950CBEIN,2024-12-27
"Very great product to use on daily basis  i do call and music listining for whole day still half of battery left till evening... great battery life...Very good clearity on bike also on both side call...Great bass and trouble....I will definetly recomand this product to buy...
",Samsung EO-BG950CBEIN,2024-12-26
"Excellent product
",Samsung EO-BG950CBEIN,2024-12-30
"Its getting disconnected frequentlyWhen iam listening to music and stop it, then go to youtube, then the sound is coming through phone speaker even though the headphone is connected.Then i have to diconnect the bluetooth and then reconnect. Then only it will work.Not sure whether the piece is defective or the model itself is like thatReally dissapointed
",Samsung EO-BG950CBEIN,2024-12-22
"just go for it. Highly recommend product. Better than any bluetooth earphones I have tried even at double the price. Better than original level U, Tagg inferno . Samsung says battery is 10 hours, I get 12 hours. Range is commemdable. Around 40mtrs easily. Looks good. Sounds good. Dual drivers, expected nothing less. only con is, the. wires are a bit on thinner side. But Samsung warranty policy is nice. They just replace your product with a new one.
",Samsung EO-BG950CBEIN,2024-12-21
"I purchased this product in Oct 2018. But started using this only after November 2018.It lasted hardly 2 months. By 5th January 2019, the following happened:+ The right earbud stopped working.+ The volume automatically started going down, even though the volume was set to max in the device (my phone) and this bluetooth device+ Often started to disconnect frequently - It was like it was having a mind of its own+ I successfully connected with two devices. But almost always one of them gets automatically disconnected after 3-4 hours. We need to re-connect this manually+ Noise cancellation is not there. So, if I talk in a crowded place, the other party will not be able to hear me clearly as there would be disturbance along with my voice tooMy suggestion: For the amount of money spent, this is definitely not worth. Please try out something else other than this. This product is only for people who have money to burn without expecting any returns.
",Samsung EO-BG950CBEIN,2024-12-28
"frequently getting disconnected in d middle of watching videos or listening.. Previously bought Cross beats... comparing to that.. Samsung is really waste.. I had waste the amount and its not worth for it..
",Samsung EO-BG950CBEIN,2024-12-26
"Sound quality is awesome, I am a frequent traveller of train & bike, I love active noise cancelation, no interruption of BT connection & battery life great. Comfy piece, yes It takes 2 3 days to get comfy with ear piece as it is heavy & big but one can get familiar with it very soon. Only draw point is earpiece cable robustness. Very thin & breakable cable used for both ear piece. It may get broken on very slight pull. Please be careful. Else excellent.
",Samsung EO-BG950CBEIN,2024-12-21
"This is one of the best earphone I have ever used. Quite comfortable to use with superb quality sound. With samsung level app you can customise the sound effect to your liking. All the battery backup is very good and will easily survive a whole day of usage.
",Samsung EO-BG950CBEIN,2024-12-26
"Paid the money but see what i got. An empty box.
",Samsung EO-BG950CBEIN,2024-12-27
"I received empty box main Bluetooth device is missing from my packet it's really amberissing please revert back as soon as possible
",Samsung EO-BG950CBEIN,2024-12-29
"Waste of money. Amazon had marked it as under return / refund but when I asked for refund they denied and instead offered me replacement. When product is a crap what we will do with replacement. Endless issues with this product:- very frequently disconnect- Ear piece are very heavy- many issues while using it on laptop- can't take calls reliably through laptop- voice issue while on laptop
",Samsung EO-BG950CBEIN,2024-12-20
"The sound is very clear , bass is normal ( not for bass heads people ) , build quality is awesome , you can customize the bixby button to your fav app ( Google assistant ) , battery is about 9 hrs for me !! the earphon look premium must buy if you have budget of 4k
",Samsung EO-BG950CBEIN,2024-12-25
"Doesn't retain charge even for 2 songs, gets discharged even while not in use & switched off. This is a horrible product by Samsung. Never Buy.
",Samsung EO-BG950CBEIN,2024-12-28
"This is one of the best neckbands in the world, with the affordable price.  It unleashes the power of samsung phone.  Music lovers are recommended to use this.  It has approximately 12 hours of usages, change time is 45 minutes. It is comfortable and flexible (Obviously). Thank you Samsung. Thank you Apario and Amazon India for giving me the expected item.
",Samsung EO-BG950CBEIN,2024-12-30
"I had brought a simmilar product of sony from a retail shop and its battery life is almost 10 times of this product. And the sony product came at half the cost. The problem now is where to show the samsung set as I have misplaced the receipt. Can any one from Amazon help. My mail id mohantydrs@gmail.com
",Samsung EO-BG950CBEIN,2024-12-28
"Good product ,both noise isolation, and cancellation works well ,bit heavy , good audio output no exta bass, produce true audio ouput, connectivity thumb up,.As for Amazon customer service worst bad experience no return policy , name sake ,excecutive respond in words no action.Don't buy product without returns /refund policyI ordered two  pair earphones which you con't cancel
",Samsung EO-BG950CBEIN,2024-12-27
"Product price is 3799 as per box and samsung , why its quoted 4999
",Samsung EO-BG950CBEIN,2024-12-29
"Pros:1.Awesome Battery Backup2.Good for ruff and tuff use3.Best way to talk on phone while you can continue your ongoing work4.flexibility superb5.Sound quality good6.Even if we talk continuously for 3 hours,no head ache or neck pain
",Samsung EO-BG950CBEIN,2024-12-26
